#CSV
[Written by Stratigraphic Tools version 1.0c - Last modification: 1/28/2013 22:3]

Standart CSV type, allows you to edit with a standard spreadsheet editor (such as Excel);
Field 1: Name of the period;
Field 2: Duration;
Field 3: Associated color;

BEGIN STRATPERIODS;
Quaternary;2.588;7;
Pliocene;2.745;8;
Messinian;1.913;7;
Tortonian;4.374;8;
Serravallian;2.2;7;
Langhian;2.15;8;
Burdigalian;4.47;7;
Aquitanian;2.59;8;
Chattian;5.07;9;
Rupelian;5.8;8;
Priabonian;4.1;9;
Bartonian;3.3;8;
Lutetian;6.5;9;
Ypresian;8.2;8;
Thanetian;3.2;9;
Selandian;2.4;8;
Danian;4.4;9;
Maastrichtian;6.1;11;
Campanian;11.5;8;
Santonian;2.7;11;
Coniacian;3.5;8;
Turonian;4.1;11;
Cenomanian;6.6;8;
Albian;12.5;12;
Aptian;12.0;8;
Barremian;4.4;12;
Hauterivian;3.5;8;
Valangian;6.9;12;
Berriasian;5.2;8;
Tithonian;7.1;15;
Kimmeridgian;5.2;4;
Oxfordian;6.2;15;
Callovian;2.6;13;
Bathonian;2.2;15;
Bajocian;2.0;13;
Aalenian;3.8;15;
Toarcian;8.6;14;
Pliensbachian;8.1;15;
Sinemurian;8.5;14;
Hettangian;2.0;15;
Rhaetian;7.2;16;
Norian;19.5;17;
Carnian;7.0;16;
Ladinian;7.0;17;
Anisian;5.2;16;
Olenekian;4.0;17;
Induan;0.97;16;
Changxingian;1.97;6;
Wujiapingian;5.66;8;
Capitanian;5.3;6;
Wordian;3.7;8;
Roadian;3.5;6;
Kungurian;11.2;8;
Artinskian;6.6;6;
Sakmarian;4.9;17;
Asselian;3.9;6;
Gzhelian;4.8;15;
Kasimovian;3.3;3;
Moscovian;8.2;15;
Bashkirian;8.0;3;
Serpukhovian;7.7;15;
Viséan;15.8;12;
Tournaisian;12.2;15;
Famennian;13.3;9;
Frasnian;10.5;8;
Givetian;5.0;9;
END;
